Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
Good,-,VK,-,5,2020-07-12T17:12:17,Super   fast rack as usual quality & amazon discount attracts buying online .
Very good product,-,Amazon Customer,-,5,2020-01-23T12:59:17,The product is very good. Thanks to Amazon for delivering it within 1day. Nicely packed. Only d belt was too large for my wrist had to cut it to adjust. Otherwise the watch is good am too satisfied with Amazon  s service.Recommended for all.
Loved it.,3 people found this helpful,Krishna,-,5,2020-02-10T17:59:17,Sooo cute...... Loved it.... Thanks AmazonPerfecttttt
Elegqnt and classy.,One person found this helpful,Harsh Tyagi,-,5,2020-09-25T15:59:17,Very elegant and beautiful watch. Looks quite classy in hand. Beautifully designed.Worth for Rs. 1500/-
Good watch,-,Ruchira S.,-,5,2020-08-22T17:59:17,I got the exact one what was in the image I had showed. It s not light weight at all  a bit of heavy. It s a good product.
Excellent watch,4 people found this helpful,Amazon Customer,-,5,2020-08-06T12:59:17,Excellent watch....thank you amazon for delivering it safely
Excellent,-,venkat ramana,-,5,2020-08-06T12:59:17,Good product from Fastrack..using this watch from one year and its good..nice colour and no issue till now..nice watch in less budget ..
Very elegant looking watch within the budget,-,eshwar,-,5,2020-07-23T17:59:17,Bought it to gift somebody and they really liked it. Worth every penny. Good looking watch within the given price range.
Simple and nice..,-,enavas,-,5,2020-09-17T17:59:17,This is simply superb for ladies  want a simple and goid looking  just go for it. You will never get bored if you did not had metal chains before. Best for office purpose.
Excellent,-,Sumanjit Goswami,-,5,2020-05-22T11:59:17,Well a reputed product is all good than than of ordinary products....i have gifted it never saw in practicality...thanks to amazon.
Good one,145 people found this helpful,Amazon Customer,-,5,2020-05-17T17:59:17,I gifted this to my friend on her birthday  she is very happy with the product..
Five Stars,86 people found this helpful,Priyanka,-,5,2020-01-23T12:59:17,Such a nice watch at this price.... Wonderful..... Happy with the purchase
Good,66 people found this helpful,Janardhan,-,5,2020-02-18T17:23:17,Good. She liked!
Love the watch!,16 people found this helpful,Bhavatarini,-,5,2020-09-29T17:59:17,Amazing watch. People who have thin wrist like me can definitely go for it without a second thought. Dial is in medium size. So it is very good for thin wrist as a big dial could cover the complete upper portion of your wrist. Baby pink colour is mild just as shown in the picture. Amazing watch for affordable price. Good for daily use. Worth the money.
Go n get it. . . .!!,12 people found this helpful,Pranav thapliyal,-,5,2020-07-16T12:59:17,I loveď it.. .. seriously . .I mean while selecting i was 70% sure but when I got it for my gf. I was 100%  after a long time my gf said that u made a good choice . She got happy n seeing her happy I myself became happy. Thankzz Amazon for having such quality products. .
😍😍😍😍😍😍😍😍😍😍,16 people found this helpful,harathi ravikumar k,-,5,2020-03-25T17:59:17,toooooo lovely cute amazing choooooo chweeeeet very pretty  i got this at 1020rs after amazon pay cash back discount
Buy brown color dail  instead of pink ..,6 people found this helpful,Sowmya,-,5,2020-09-18T17:59:17,Product was good for small wrist girls  I have big wrist  but the dail color is not good after seeing this product I think I ordered brown color dail in the same model I give this watch to my sister  I don t like this watch any one want to buy u go for brown color   although your favorite color is pink also ...trust me brown will be good compare to pink I saw my friend wearing same watch in brown color that is really good compare to pink
Five Stars,17 people found this helpful,Ayush,-,5,2020-05-15T12:59:17,Very good product
Totally worth it.,8 people found this helpful,Mohit K.,-,5,2020-02-10T17:59:17,I loved it. The style finish everything. The dial though is slightly smaller to what I expected it to be. But at this price you should just enjoy it s grace. Totally worth it. The Can pack is cool but would request a more sturdy case. Wanted to add a pic but have packed it for gifting purpose.
Looks good  but issue with strap,One person found this helpful,Amazon Customer,-,5,2020-07-16T12:59:17,I got one recently for my daughter who was insisting on a pink colored dial. The watch looks good  but due to the pattern on the dial  it is difficult to spot the minute hand at certain angles. The first day itself the strap pin came out  and after getting it fixed  it again came off. The strap does not look to be of good build quality.
I'm satisfied with this purchase ☺,6 people found this helpful,Rishav k.,-,5,2020-08-22T17:59:17,The watch is very lovely but the size of the dail is a little smaller as shown in the picture...those people who want to buy a big dail watch  then pls don t go for it. It is best suitable for senior classes school girls....😊👍
Quality product,8 people found this helpful,Shreya s.,-,5,2020-01-18T17:53:17,Attractive product.. Also it was delivered within 1 day.. Happy with product as well as delivery time.
100% recommended,-,Deon Monteiro,-,5,2020-03-25T17:59:17,I always prefer fastrack watch as i have a very good experience with it. I have been using my fastrack watch which was given by dad years before. It still works. Has good battery life. Never changed battery before. Thats why I decided to gift a fastrack watch. The packing is A1. Thickness is decent as you prefer. Looks Classy. Value for money.Recommended 100%.
Nice watch. looks professional,3 people found this helpful,Divya Pandya,-,5,2020-08-06T12:59:17,Nice watch.looks professional.Just go through it 😘
neat and excellent quality. I think i may consider buying one ...,3 people found this helpful,Admarkon,-,5,2020-07-23T17:59:17,Bought this as a gift for one of the staff members. Simple   neat and excellent quality. I think i may consider buying one of them for myself
The watch is absolutely beautiful. The only problem is that they didn't provide ...,5 people found this helpful,Diksha S.,-,5,2020-07-12T13:59:17,The watch is absolutely beautiful. The only problem is that they didn t provide any warranty card. Apart from that  do buy it.! Absolutely chic  elegant  a perfect combination of professionalism and style. :-)
The watch is so pretty and nice with pink dial,One person found this helpful,swati arya,-,5,2020-05-15T12:59:17,2 days back i have received my fastract watch. It comes in fastrack cann. The watch is so pretty and nice with pink dial. Finishing is very good with silver color band. It looks very trendy and classy. The only drawback is i have not found any warranty card and dial is very small compatible to picture which has shown.Rest its good. You can buy it without any confusion.Thanks
No complaints,3 people found this helpful,TaNgit JaMir,-,5,2020-03-25T17:59:17,Looks better in reality. Bought it for my gf and she s been using it for almost a year now. No complaints.
Nice watch at a good price,One person found this helpful,YS,-,5,2020-03-24T12:32:17,This was a gift to my mom & liked the watch. Good watch by Fastrack.
Good enough!,8 people found this helpful,TRT,-,5,2020-09-05T17:59:17,Gifted to my wife! Liked it! Hands color can be dark enough! Price can be low then 1500+rs
Love this,-,Kanika,-,5,2020-04-23T14:12:17,Size is small but looks cute
Full,-,Rinku,-,5,2020-01-11T11:59:17,This watch s material is above then price. This watch is soo beautiful. Stylish and fabulous look of it make it more attrective. Thanks Amazon to give me a beautiful watch.😍😍
Worth Buy!,-,Akshita,-,5,2020-07-23T17:59:17,I ordered this watch about 10 months ago. I really like the looks for it is subtle as well as pretty. Totally does the work for me. Also there has not been any damage as of now.
Very good,-,priyadarshana,-,5,2020-07-12T17:12:17,It s really very good. The only problem is it s little loose
Good one,-,Syed hamza,-,5,2020-07-12T13:59:17,Good deal
Not super.. just average,-,Teja,-,5,2020-07-12T17:12:17,I expected it to be more girly but it is more like a men s watch except the dail colour.. u can buy if you need a simple decent watch without any expectations..
Nice,-,Amazon Customer,-,5,2020-03-19T13:59:17,Very good looking watch
Gift Special,-,Falcon Dan,-,5,2020-05-17T17:59:17,The perfect gift.
Good product,-,Bobby,-,5,2020-02-10T17:59:17,Good product
Satisfied with this product,-,Nilanjana Gupta,-,5,2020-02-22T16:59:17,It s really a nice looking watch and what it seems in the picture is exactly same as the actual product. The dial size is too very much suitable for girls . Loved it very much..
Good,-,Amazon customer,-,5,2020-03-19T13:59:17,I actually liked the product.. but when i took it to a shop for adjusting the length.. the guy told me its fake.. and not branded.. how will i know whether its fake or branded.???..
Fabulous watch from fastrack ...at this price point.,-,Sanjib,-,5,2020-05-15T12:59:17,I have purchase this for my wife and she is very happy to get this product. I have purchase this watch during sale therefore it costed Rs 1275 and at this price range this one of the best watches from fastrack.
Value for money,-,Harika,-,5,2020-09-29T17:59:17,The product was good but the packaging was worse.The lid was not fixed to the box and when I received the package the box was crumbled and the watch came out of the box. Only the packaging was not good.
Awesome Product,-,DJ,-,5,2020-02-22T16:59:17,Purchased this product for gifting and the person liked it a lot. Product is very nice.
Package have to improve. Disappointed bcoz of the damaged box.,One person found this helpful,Sowmiya Murugesan,-,5,2020-07-02T17:54:17,Box of the product was damaged and color was very lite. Chain of the watch was not comfortable.
Superb,-,Naziya,-,5,2020-08-13T14:59:17,Superb watch but not looking so good on me
Size if belt to be designed as can be changed as required,-,Umesh betageri,-,5,2020-08-13T14:59:17,The problem size is not suitable to my sister hand.again we removed some steels in belt.It was tough to repair person to make it .so please product to be made in such away that it shod match every one hand.
Nice product,2 people found this helpful,Amazon Customer,-,5,2020-07-12T17:12:17,Nice product... N also delivered in ryt tym... Bt it is 5 rating product if the guarantee card is filled n then delivered...
